town0_AL|population,52|pct_urban,80|pct_white,5|pct_indian,25|pct_black,46|pct_asian,25|pct_hispanic,77
town1_AL|population,45|pct_urban,30|pct_white,23|pct_indian,-43|pct_black,20|pct_asian,-43|pct_hispanic,11
town2_AL|population,58|pct_urban,13|pct_white,36|pct_indian,-48|pct_black,4|pct_asian,-48|pct_hispanic,70
town3_AL|population,36|pct_urban,22|pct_white,76|pct_indian,5|pct_black,1|pct_asian,5|pct_hispanic,76
town4_AL|population,31|pct_urban,45|pct_white,4|pct_indian,-62|pct_black,10|pct_asian,-62|pct_hispanic,4
town5_AL|population,65|pct_urban,72|pct_white,19|pct_indian,5|pct_black,26|pct_asian,5|pct_hispanic,70
town6_AL|population,34|pct_urban,93|pct_white,46|pct_indian,-40|pct_black,2|pct_asian,-40|pct_hispanic,67
town7_AL|population,24|pct_urban,83|pct_white,19|pct_indian,32|pct_black,5|pct_asian,32|pct_hispanic,50
town8_AL|population,37|pct_urban,24|pct_white,78|pct_indian,4|pct_black,10|pct_asian,4|pct_hispanic,51
town9_AL|population,84|pct_urban,81|pct_white,5|pct_indian,-18|pct_black,9|pct_asian,-18|pct_hispanic,53
town10_AL|population,20|pct_urban,90|pct_white,49|pct_indian,-11|pct_black,12|pct_asian,-11|pct_hispanic,2
town11_AL|population,85|pct_urban,63|pct_white,30|pct_indian,-17|pct_black,5|pct_asian,-17|pct_hispanic,19
town12_AL|population,25|pct_urban,34|pct_white,26|pct_indian,35|pct_black,25|pct_asian,35|pct_hispanic,72
town13_AL|population,45|pct_urban,45|pct_white,17|pct_indian,-18|pct_black,23|pct_asian,-18|pct_hispanic,6
town14_AL|population,42|pct_urban,16|pct_white,58|pct_indian,-32|pct_black,2|pct_asian,-32|pct_hispanic,21
town15_AL|population,17|pct_urban,27|pct_white,79|pct_indian,-9|pct_black,6|pct_asian,-9|pct_hispanic,74
town16_AL|population,67|pct_urban,17|pct_white,77|pct_indian,-3|pct_black,2|pct_asian,-3|pct_hispanic,21
town17_AL|population,12|pct_urban,27|pct_white,80|pct_indian,-5|pct_black,5|pct_asian,-5|pct_hispanic,72
town18_AL|population,34|pct_urban,82|pct_white,10|pct_indian,-20|pct_black,4|pct_asian,-20|pct_hispanic,20
town19_AL|population,75|pct_urban,79|pct_white,48|pct_indian,-35|pct_black,3|pct_asian,-35|pct_hispanic,19
town20_AL|population,62|pct_urban,45|pct_white,58|pct_indian,18|pct_black,16|pct_asian,18|pct_hispanic,35
town21_AL|population,46|pct_urban,57|pct_white,40|pct_indian,-40|pct_black,12|pct_asian,-40|pct_hispanic,9
town22_AL|population,13|pct_urban,36|pct_white,4|pct_indian,9|pct_black,3|pct_asian,9|pct_hispanic,68
town23_AL|population,50|pct_urban,81|pct_white,68|pct_indian,-6|pct_black,8|pct_asian,-6|pct_hispanic,9
town24_AL|population,34|pct_urban,11|pct_white,8|pct_indian,-59|pct_black,3|pct_asian,-59|pct_hispanic,47
town25_AL|population,14|pct_urban,8|pct_white,69|pct_indian,-2|pct_black,1|pct_asian,-2|pct_hispanic,65
town26_AL|population,30|pct_urban,31|pct_white,8|pct_indian,-34|pct_black,36|pct_asian,-34|pct_hispanic,44
town27_AL|population,37|pct_urban,66|pct_white,48|pct_indian,-40|pct_black,4|pct_asian,-40|pct_hispanic,43
town28_AL|population,21|pct_urban,38|pct_white,74|pct_indian,-5|pct_black,7|pct_asian,-5|pct_hispanic,67
town29_AL|population,19|pct_urban,72|pct_white,47|pct_indian,-27|pct_black,18|pct_asian,-27|pct_hispanic,30
town30_AL|population,69|pct_urban,93|pct_white,73|pct_indian,5|pct_black,18|pct_asian,5|pct_hispanic,53
town31_AL|population,58|pct_urban,91|pct_white,26|pct_indian,-4|pct_black,62|pct_asian,-4|pct_hispanic,51
town32_AL|population,82|pct_urban,21|pct_white,72|pct_indian,-12|pct_black,4|pct_asian,-12|pct_hispanic,20
